CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
2GO,"2GO Group, Inc.",O,9.59,"2,462,146,316","23,611,983,170",Services,Transportation Services,January-December,"1,020,000,000","7,866,000,000","6,295,000,000","330,000,000","15,768,000,000","2,702,000,000","8,918,000,000","2,835,000,000","11,990,000,000","3,715,000,000","3,778,000,000","23,861,000,000","-948,000,000","-58,000,000","-1,396,000,000","-1,394,000,000","2,058,632,000","702,189,000","-1,429,650,000","-1,242,150,000","3,985,500,000","-526,033,000",,,"49,426,000"
AAA,Asia Amalgamated Holdings Corporation,S,1.61,"799,999,981","1,287,999,969",Holding Firms,Holding Firms,January-December,,"300,000",,,"4,000,000",,"24,100,000",,"24,100,000","-20,100,000","-20,100,000",0,,,"-761,067","-761,067",0,"-961,733",0,"769,333",,,,,0
AB,"Atok-Big Wedge Co., Inc.",O,10,"2,545,000,000","25,450,000,000",Mining and Oil,Mining,January-December,"34,643,500","49,745,700","9,100","605,187,900","656,482,100",,"2,148,400",,"2,148,400","654,333,700","654,333,700",,"-5,424,600","-12,864,100","-16,680,600","-16,680,600",0,"-24,796,887","-2,800","-2,800",,,,,
ABA,"AbaCore Capital Holdings, Inc.",O,0.86,"3,185,934,029","2,739,903,265",Holding Firms,Holding Firms,January-December,"79,000,000",,"584,000,000","8,924,000,000","11,792,000,000","167,000,000",,,"3,027,000,000","8,645,000,000","8,766,000,000","24,862,000","-105,337,000","-21,319,200","3,212,194,600","3,224,137,300","12,131,314","144,540,500","-38,803,400","130,875,000","1,883,630","17,947,000","-46,600,000","-607,533,200","-283,641,600"
ABG,Asiabest Group International Inc.,O,11.36,"300,000,000","3,408,000,000",Holding Firms,Holding Firms,January-December,"265,608,500","268,406,500",,,"268,406,500",,"1,326,800",,"1,326,800","267,079,700","267,079,700",,"3,570,600",,"-1,692,500","-1,692,500",,"-928,992",,"253,772",,,,,
ABS,ABS-CBN Corporation,O,17.04,"861,971,968","14,688,002,335",Services,Media,January-December,"20,729,000,000","39,129,000,000","27,871,000,000","892,000,000","85,654,000,000","549,000,000","16,365,000,000","26,747,000,000","48,428,000,000","37,196,000,000","37,226,000,000","42,668,000,000","4,050,000,000","-31,000,000","2,848,000,000","2,696,000,000","5,376,000,000","7,485,000,000","-5,327,000,000","-12,279,000,000","4,999,000,000","-6,161,000,000","-55,400,000","-679,000,000","-1,896,000,000"
AC,Ayala Corporation,O,740,"626,683,595","463,745,860,300",Holding Firms,Holding Firms,January-December,"82,033,000,000","452,069,000,000","108,411,000,000","514,507,000,000","1,296,262,000,000","65,428,000,000","315,887,000,000","365,739,000,000","748,974,000,000","345,311,000,000","547,288,000,000","279,756,000,000","47,109,000,000","22,266,000,000","54,117,000,000","77,880,000,000","16,150,000,000","57,688,000,000","-19,611,000,000","-71,154,000,000","176,225,900,000","-159,056,800,000","-3,192,000,000","-11,706,000,000","10,565,000,000"
ACE,Acesite (Phils.) Hotel Corporation,O,1.42,"344,747,520","489,541,478",Services,Hotel & Leisure,January-December,"64,000,000","651,000,000","922,000,000","22,000,000","2,231,000,000",,"895,000,000",,"1,106,000,000","1,125,000,000","1,125,000,000","9,621,000","-216,631,000",,"-377,476,600","-377,476,600","49,579,040","-125,985,426","-10,300,000","-184,217,065","185,300,000",,,,"185,300,000"
ACEPH,"AC Energy Philippines, Inc.",O,2.15,"7,521,774,922","21,361,840,778",Industrial,"Electricity, Energy, Power & Water",January-December,"3,601,000,000","7,164,000,000","5,597,000,000","4,079,000,000","20,247,000,000","684,000,000","3,474,000,000","5,078,000,000","9,966,000,000","10,303,000,000","10,281,000,000","15,344,000,000","-377,000,000","62,000,000","-1,064,000,000","-1,073,000,000","402,561,000","32,831,000","-168,692,000","-750,243,000","923,025,000","-2,421,940,000",,"2,344,000","1,351,583,000"
ACEX,"ACE Enexor, Inc",O,8.1,"250,000,001","3,125,000,013",Mining and Oil,Oil,January-December ,"57,140,000","57,290,000","20,000",,"90,850,000",,"13,560,000",,"14,170,000","76,680,000","76,680,000","10,000","-16,870,000",,"-18,570,000","-20,270,000",0,"-15,830,000","-4,150,000","20,520,000",,,,,
